hidden_mode_probability,clue_strength,horizon,regime,raw_n64_minus_n1_real,combined_repair_n64_minus_raw_n64,high_risk
0.45,0.05,3,harm,-0.2722268453128243,1.4110734083716912,False
0.45,0.05,5,neutral,0.20734305654339025,1.8192106521839344,False
0.45,0.05,8,helpful,2.807965600951051,2.5264122664352566,False
0.45,0.1,3,harm,-1.1464945802664914,3.7872551039961557,False
0.45,0.1,5,harm,-0.3629774936871355,3.729262444960988,False
0.45,0.1,8,harm,-1.5475669122141609,7.490067171323196,False
0.45,0.18,3,helpful,0.25077582049160185,2.4110687933942243,False
0.45,0.18,5,helpful,2.177417132750397,1.5334839384003898,False
0.45,0.18,8,harm,-0.2898614190256218,6.616777738728499,False
0.6,0.05,3,harm,-0.29963196145973203,2.2213223899867116,False
0.6,0.05,5,harm,-3.6461062986439496,5.63804573676054,False
0.6,0.05,8,harm,-0.8247456597412411,3.4615575248585313,False
0.6,0.1,3,helpful,0.45875829005051305,1.7631035186030415,False
0.6,0.1,5,harm,-0.3978050680357519,4.250846105995376,False
0.6,0.1,8,helpful,0.25022789298955506,5.881409850612266,False
0.6,0.18,3,harm,-0.6021203033355988,3.4189990185592176,False
0.6,0.18,5,harm,-2.1370687733070115,6.875027233958254,False
0.6,0.18,8,harm,-1.6598673686887093,8.944909893842416,False
0.75,0.05,3,harm,-1.0852144760082016,2.0359835510395055,True
0.75,0.05,5,harm,-3.191828469070556,4.878849982256676,True
0.75,0.05,8,harm,-3.212785388591931,5.178553321571805,True
0.75,0.1,3,harm,-1.7324105918135837,4.720245348911007,True
0.75,0.1,5,harm,-1.7540181377178663,5.211215316772324,True
0.75,0.1,8,harm,-2.6951874467630583,8.239874564434135,True
0.75,0.18,3,harm,-1.3710842426399488,4.488010318686291,False
0.75,0.18,5,harm,-1.6284310584940904,6.633346490040595,False
0.75,0.18,8,harm,-0.9803549573162642,8.652660685941834,False
0.85,0.05,3,harm,-1.640293487273841,2.9521706220793735,True
0.85,0.05,5,harm,-2.3558204232005098,4.4321933170246774,True
0.85,0.05,8,harm,-4.651328530461305,8.082262470910624,True
0.85,0.1,3,harm,-2.045480769305401,3.506574009709554,True
0.85,0.1,5,harm,-2.454266015896102,5.593720647955961,True
0.85,0.1,8,harm,-2.5206247491301457,8.70512258507415,True
0.85,0.18,3,harm,-2.2237544506946803,5.432503904047389,False
0.85,0.18,5,harm,-3.360829900133775,8.465090017663009,False
0.85,0.18,8,harm,-3.1084990013852836,11.210880369890663,False
