benchmark,seed,candidate_count,pilot_size,eval_size,overlap_count
CartPole-v1,32,180,64,116,0
CartPole-v1,33,180,64,116,0
CartPole-v1,34,180,64,116,0
CartPole-v1,35,180,64,116,0
CartPole-v1,36,180,64,116,0
CartPole-v1,37,180,64,116,0
MountainCar-v0,32,180,64,116,0
MountainCar-v0,33,180,64,116,0
MountainCar-v0,34,180,64,116,0
MountainCar-v0,35,180,64,116,0
MountainCar-v0,36,180,64,116,0
MountainCar-v0,37,180,64,116,0
Acrobot-v1,32,180,64,116,0
Acrobot-v1,33,180,64,116,0
Acrobot-v1,34,180,64,116,0
Acrobot-v1,35,180,64,116,0
Acrobot-v1,36,180,64,116,0
Acrobot-v1,37,180,64,116,0
